"";"ELEC";"EAU";"BATI";"BAIN";"WC";"MAL";"REFRI";"CLIM";"CHOS";"TFIXE";"INTER";"VOIT";"BATO";"DEROU";"NEM";"NEM100";"COUNT"
"Belep";0,92964824120603;0,984924623115578;0,864321608040201;0,919597989949749;0,85427135678392;0,371859296482412;0,78894472361809;0,0150753768844221;0,085427135678392;0,0653266331658292;0,226130653266332;0,0050251256281407;0,0050251256281407;0;43,7916510776121;71,4867673735456;199
"Boulouparis";0,886290322580645;0,911290322580645;0,97741935483871;0,983870967741935;0,978225806451613;0,875806451612903;0,924193548387097;0,44758064516129;0,351612903225806;0,423387096774194;0,480645161290323;0,0516129032258065;0,0032258064516129;0,00161290322580645;59,18101695991;96,6088167090327;1240
"Bourail";0,945960125918153;0,975341028331584;0,981112277019937;0,975865687303253;0,979013641133263;0,886149003147954;0,94700944386149;0,438090241343127;0,338929695697796;0,520986358866737;0,532004197271773;0,0907660020986359;0,00314795383001049;0,00104931794333683;61,6240322078991;100,596865992982;1906
"Canala";0,855796418473139;0,969839773798303;0,95004712535344;0,929311969839774;0,908576814326107;0,576814326107446;0,792648444863337;0,0537229029217719;0,0461828463713478;0,123468426013195;0,171536286522149;0,0490103675777568;0,00282752120640905;0,000942507068803016;45,8313538695024;74,8164376510286;1061
"Dumbéa";0,966884328358209;0,983488805970149;0,966231343283582;0,991231343283582;0,990951492537313;0,95205223880597;0,975;0,478917910447761;0,448787313432836;0,598041044776119;0,678731343283582;0,0398320895522388;0,000932835820895522;0,00149253731343284;64,8329248730193;105,835155891473;10720
"Farino";0,969348659003831;0,96551724137931;1;1;1;0,954022988505747;0,988505747126437;0,302681992337165;0,21455938697318;0,521072796934866;0,509578544061303;0,0996168582375479;0,00766283524904215;0;61,1222692776369;99,7777735634968;261
"Hienghène";0,713864306784661;0,955752212389381;0,982300884955752;0,908554572271386;0,837758112094395;0,498525073746313;0,787610619469027;0,0368731563421829;0,0663716814159292;0,154867256637168;0,374631268436578;0,0309734513274336;0,00294985250737463;0,00589970501474926;45,4500605092864;74,1940032583512;678
"Houailou";0,874483897605285;0,976878612716763;0,969446738232865;0,925681255161024;0,892650701899257;0,695293146160198;0,842279108175062;0,0495458298926507;0,0586292320396367;0,199834847233691;0,209744013212221;0,0412881915772089;0,00330305532617671;0;48,0469364795368;78,433219269052;1211
"Ile des Pins";0,957639939485628;0,934947049924357;0,924357034795764;0,901664145234493;0,854765506807867;0,629349470499244;0,774583963691377;0,0317700453857791;0,0665658093797277;0,170953101361573;0,143721633888048;0,037821482602118;0,0075642965204236;0,00302571860816944;46,0017756828481;75,0946391854816;661
"Kaala Gomen";0,912801484230056;0,87569573283859;0,957328385899815;0,949907235621521;0,897959183673469;0,781076066790352;0,940630797773655;0,179962894248609;0,159554730983302;0,25417439703154;0,345083487940631;0,115027829313544;0,00185528756957328;0;52,5563063930176;85,7944461256268;539
