"";"Y2009";"Y2014";"Y2019"
"ELEC";8,09788885786662;8,44655824146995;8,28421448248102
"EAU";6,35447066971258;4,35159541472535;3,25548815500483
"BATI";5,0027058823932;5,74513746663467;5,42181890375685
"BAIN";9,71750024509102;9,71210294980668;9,62326910994169
"WC";9,66497472814245;9,66937658819534;9,2746393371883
"MAL";6,21403413264549;6,18913693495293;6,28524427087421
"REFRI";7,81953164610849;7,26725632367641;7,8285569412501
"CLIM";6,06094832253172;6,31185171820565;6,5705699355605
"CHOS";3,32068145611143;2,11563932768476;1,27370363274876
"TFIXE";7,31035044905609;7,83824266833518;8,50002910867459
"INTER";7,42717914419288;8,04598915507494;8,71862335804195
"VOIT";4,73533342474026;4,70911161125757;5,71001073517645
"BATO";7,34511505653422;7,89405406889089;7,23542748709453
"DEROU";10,9292859848736;11,7039475310897;12,0184045422062
